YEAR,MONTH,STATE, RESIDENTIAL  PHOTOVOLTAIC ELECTRIC ENERGY SOLD BACK (MWh) , COMMERCIAL  PHOTOVOLTAIC ELECTRIC ENERGY SOLD BACK (MWh) , INDUSTRIAL  PHOTOVOLTAIC ELECTRIC ENERGY SOLD BACK (MWh) , TRANSPORTATION  PHOTOVOLTAIC ELECTRIC ENERGY SOLD BACK (MWh) , TOTAL  PHOTOVOLTAIC ELECTRIC ENERGY SOLD BACK (MWh) , RESIDENTIAL PHOTOVOLTAIC INSTALLED NET METERING CAPACITY (MW) , COMMERCIAL PHOTOVOLTAIC INSTALLED NET METERING CAPACITY (MW) , INDUSTRIAL  PHOTOVOLTAIC INSTALLED NET METERING CAPACITY (MW) , TRANSPORTATION PHOTOVOLTAIC INSTALLED NET METERING CAPACITY (MW) , TOTAL PHOTOVOLTAIC INSTALLED NET METERING CAPACITY (MW) , RESIDENTIAL PHOTOVOLTAIC NET METERING CUSTOMER COUNT , COMMERCIAL PHOTOVOLTAIC NET METERING CUSTOMER COUNT , INDUSTRIAL PHOTOVOLTAIC NET METERING CUSTOMER COUNT , TRANSPORTATIONPHOTOVOLTAIC NET METERING CUSTOMER COUNT , TOTAL PHOTOVOLTAIC NET METERING CUSTOMER COUNT , RESIDENTIAL  WIND ELECTRIC ENERGY SOLD BACK (MWh) , COMMERCIAL  WIND ELECTRIC ENERGY SOLD BACK (MWh) , INDUSTRIAL  WIND ELECTRIC ENERGY SOLD BACK (MWh) , TRANSPORTATION  WIND ELECTRIC ENERGY SOLD BACK (MWh) , TOTAL  WIND ELECTRIC ENERGY SOLD BACK (MWh) , RESIDENTIAL WIND INSTALLED NET METERING CAPACITY (MW) , COMMERCIAL WIND INSTALLED NET METERING CAPACITY (MW) , INDUSTRIAL  WIND INSTALLED NET METERING CAPACITY (MW) , TRANSPORTATION WIND INSTALLED NET METERING CAPACITY (MW) , TOTAL WIND INSTALLED NET METERING CAPACITY (MW) , RESIDENTIAL WIND NET METERING CUSTOMER COUNT , COMMERCIAL WIND NET METERING CUSTOMER COUNT , INDUSTRIAL WIND NET METERING CUSTOMER COUNT , TRANSPORTATION WIND NET METERING CUSTOMER COUNT , TOTAL WIND NET METERING CUSTOMER COUNT , RESIDENTIAL  OTHER ELECTRIC ENERGY SOLD BACK (MWh) , COMMERCIAL  OTHER ELECTRIC ENERGY SOLD BACK (MWh) , INDUSTRIAL  OTHER ELECTRIC ENERGY SOLD BACK (MWh) , TRANSPORTATION  OTHER ELECTRIC ENERGY SOLD BACK (MWh) , TOTAL  OTHER ELECTRIC ENERGY SOLD BACK (MWh) , RESIDENTIAL OTHER INSTALLED NET METERING CAPACITY (MW) , COMMERCIAL OTHER INSTALLED NET METERING CAPACITY (MW) , INDUSTRIAL  OTHER INSTALLED NET METERING CAPACITY (MW) , TRANSPORTATION OTHER INSTALLED NET METERING CAPACITY (MW) , TOTAL OTHER INSTALLED NET METERING CAPACITY (MW) , RESIDENTIAL OTHER NET METERING CUSTOMER COUNT , COMMERCIAL OTHER NET METERING CUSTOMER COUNT , INDUSTRIAL OTHER NET METERING CUSTOMER COUNT , TRANSPORTATION OTHER NET METERING CUSTOMER COUNT , TOTAL OTHER NET METERING CUSTOMER COUNT , RESIDENTIAL  TOTAL ELECTRIC ENERGY SOLD BACK TO THE UTILITY (MWh) , COMMERCIAL  TOTAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY(MWh) , INDUSTRIAL  TOTAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY(MWh) , TRANSPORTATION  TOTAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY(MWh) , TOTAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY(MWh) , RESIDENTIAL TOTAL  INSTALLED NET METERING CAPACITY (MW) , COMMERCIAL TOTAL  INSTALLED NET METERING CAPACITY (MW) , INDUSTRIAL  TOTAL  INSTALLED NET METERING CAPACITY (MW) , TRANSPORTATION TOTAL  INSTALLED NET METERING CAPACITY (MW) , TOTAL  INSTALLED NET METERING CAPACITY (MW) , RESIDENTIAL TOTAL  NET METERING CUSTOMER COUNT , COMMERCIAL TOTAL  NET METERING CUSTOMER COUNT , INDUSTRIAL TOTAL  NET METERING CUSTOMER COUNT , TRANSPORTATION TOTAL  NET METERING CUSTOMER COUNT , TOTAL NET METERING CUSTOMER COUNT , RESIDENTIAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY FOR ALL STATES SERVED(MWh) , COMMERCIAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY FOR ALL STATES SERVED(MWh) , INDUSTRIAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITY FOR ALL STATES SERVED(MWh) , TRANSPORTATION  ELECTRIC ENERGY SOLD BACK TO THE UTILITY FOR ALL STATES SERVED(MWh) , TOTAL  ELECTRIC ENERGY SOLD BACK TO THE UTILITYFOR ALL STATES SERVED(MWh) , RESIDENTIAL INSTALLED NET METERING CAPACITY FOR ALL STATES SERVED(MW) , COMMERCIAL INSTALLED NET METERING CAPACITY FOR ALL STATES SERVED(MW) , INDUSTRIAL  INSTALLED NET METERING CAPACITY FOR ALL STATES SERVED(MW) , TRANSPORTATION INSTALLED NET METERING CAPACITY FOR ALL STATES SERVED(MW) , INSTALLED NET METERING CAPACITY FOR ALL STATES SERVED(MW) , RESIDENTIAL NET METERING CUSTOMER COUNT FOR ALL STATES SERVED , COMMERCIAL NET METERING CUSTOMER COUNT FOR ALL STATES SERVED , INDUSTRIAL NET METERING CUSTOMER COUNT FOR ALL STATES SERVED , TRANSPORTATION NET METERING CUSTOMER COUNT FOR ALL STATES SERVED , NET METERING CUSTOMER COUNT FOR ALL STATES SERVED 
2011,3,ND,,,,, -   , 0.01 , -   , -   , -   , 0.01 , 2 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 18 , 1 , -   , -   , 19 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,0,0,0,0,0,0.248,0.066,0,0,0.314, 20 , 1 , -   , -   , 21 
2011,3,NE, -   , 0.02 , -   , -   , 0.02 , 0.04 , 0.01 , 0.01 , -   , 0.05 , 7 , 2 , 2 , -   , 11 , 1 , -   , -   , -   , 1 , 0 , 0 , -   , -   , 0 , 4 , 3 , -   , -   , 7 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,0.954,0.02,0,0,0.974,0.061,0.021,0.008,0,0.09, 11 , 5 , 2 , -   , 18 
2011,3,NH, -   , -   , -   , -   , -   , 1.32 , 0.51 , 0.23 , -   , 2.06 , 376 , 59 , 7 , -   , 442 , -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 64 , 10 , -   , -   , 74 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06, -   , -   , 1 , -   , 1 ,0,0,0,0,0,0.541,0.268,0.232,0,1.041, 148 , 10 , 2 , -   , 160 ,0,0,0,0,0,2.155,0.911,0.525,0,3.591, 588 , 79 , 10 , -   , 677 
2011,3,NJ, 11.98 , 101.12 , -   , -   , 113.10 , 39.01 , 59.78 , 16.89 , -   , 115.68 ," 4,806 ", 780 , 41 , -   ," 5,627 ", -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 34 , 5 , -   , -   , 39 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0.14,0,0,0.14, -   , 1 , -   , -   , 1 ,11.98,101.12,0,0,113.1,39.392,60.014,16.887,0,116.293," 4,840 ", 786 , 41 , -   ," 5,667 "
2011,3,NM, 34.67 , 0.56 , -   , -   , 35.24 , 1.08 , 0.02 , -   , -   , 1.09 , 308 , 5 , -   , -   , 313 , 0 , -   , -   , -   , 0 , 0 , 0 , -   , -   , 0 , 3 , 1 , -   , -   , 4 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,34.693,0.561,0,0,35.254,1.083,0.021,0,0,1.104, 311 , 6 , -   , -   , 317 
2011,3,NV, 415.89 , 605.25 , 6.00 , -   ," 1,027.13 ", 4.86 , 8.96 , 1.60 , -   , 15.42 ," 1,064 ", 181 , 17 , -   ," 1,262 ", 8 , 1 , -   , -   , 9 , 0 , 0 , -   , -   , 0 , 55 , 10 , -   , -   , 65 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,1.401,13.42,0,0,14.821,0.027,0.093,0.05,0,0.17, 4 , 1 , 1 , -   , 6 ,425.136,620.021,6,0,1051.157,5.134,9.236,1.651,0,16.021," 1,123 ", 192 , 18 , -   ," 1,333 "
2011,3,NY,,,,, -   , 9.74 , 6.36 , -   , -   , 16.10 ," 1,713 ", 299 , -   , -   ," 2,012 ",,,,, -   , 0 , 0 , -   , -   , 1 , 55 , 8 , -   , -   , 63 ,,,,,0.00,0.00,0.00,0.00,0.00,0.00, 1 , -   , -   , -   , 1 ,,,,,0,0.108,2.685,,,2.793, 11 , 6 ,,, 17 ,0,0,0,0,0,10.196,9.21,0,0,19.406," 1,780 ", 313 , -   , -   ," 2,093 "
2011,3,OH, -   , -   , -   , -   , -   , 2.12 , 13.12 , 0.27 , -   , 15.51 , 465 , 284 , 7 , -   , 756 , -   , -   , -   , -   , -   , 1 , 5 , 0 , -   , 7 , 192 , 72 , 2 , -   , 266 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 1 , -   , -   , -   , 1 ,0,0,0,0,0,0.001,1.595,0.5,0,2.096, 1 , 5 , 1 , -   , 7 ,0,0,0,0,0,3.316,19.976,0.916,0,24.208, 659 , 361 , 10 , -   ," 1,030 "
2011,3,OK, 0.76 , -   , -   , -   , 0.76 , 0.15 , 0.08 , -   , -   , 0.23 , 51 , 6 , -   , -   , 57 , -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 14 , 5 , -   , -   , 19 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,0.756,0,0,0,0.756,0.204,0.218,0,0,0.422, 65 , 11 , -   , -   , 76 
2011,3,OR, 82.17 , 115.41 , -   , -   , 197.58 , 4.25 , 8.63 , 0.07 , -   , 12.95 ," 1,287 ", 194 , 2 , -   ," 1,483 ", 6 , 2 , -   , -   , 8 , 0 , 0 , -   , -   , 0 , 21 , 5 , -   , -   , 26 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0.563,0,0,0,0.563,0.008,0.533,0,0,0.541, 1 , 5 , -   , -   , 6 ,88.53,117.414,0,0,205.944,4.436,9.359,0.07,0,13.865," 1,309 ", 204 , 2 , -   ," 1,515 "
2011,3,PA, 3.44 , 0.80 , -   , -   , 4.24 , 26.19 , 17.97 , 4.30 , -   , 48.45 ," 3,309 ", 333 , 32 , -   ," 3,674 ", -   , 0 , -   , -   , 0 , 0 , 0 , 0 , -   , 0 , 102 , 21 , 2 , -   , 125 ,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01, -   , 1 , -   , -   , 1 ,0,0,0,0,0,0.085,0.272,0,0,0.357, 11 , 6 , -   , -   , 17 ,3.438,0.89,0,0,4.328,26.616,18.308,4.309,0,49.233," 3,422 ", 361 , 34 , -   ," 3,817 "
2011,3,RI,,,,, -   , 0.55 , 0.72 , -   , -   , 1.26 , 128 , 42 , -   , -   , 170 , 1 , -   , -   , -   , 1 , 0 , 2 , -   , -   , 2 , 9 , 5 , -   , -   , 14 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,0.002,0.001,0,0,0.003, 2 , 1 , -   , -   , 3 ,1.13,0,0,0,1.13,0.559,2.99,0,0,3.549, 139 , 48 , -   , -   , 187 
2011,3,SC, 17.43 , 1.57 , -   , -   , 19.00 , 0.42 , 0.03 , -   , -   , 0.45 , 95 , 8 , -   , -   , 103 , 0 , -   , -   , -   , 0 , 0 , -   , -   , -   , 0 , 1 , -   , -   , -   , 1 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,17.435,1.568,0,0,19.003,0.417,0.033,0,0,0.45, 96 , 8 , -   , -   , 104 
2011,3,SD,,,,, -   , -   , 0.04 , -   , -   , 0.04 , -   , 2 , -   , -   , 2 , 0 , 3 , -   , -   , 3 , 0 , 0 , -   , -   , 0 , 21 , 4 , -   , -   , 25 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,0.089,2.627,0,0,2.716,0.101,0.092,0,0,0.193, 21 , 6 , -   , -   , 27 
2011,3,TN,,,,, -   , -   , 0.04 , -   , -   , 0.04 , -   , 1 , -   , -   , 1 ,,,,, -   ,,,,, -   ,,,,, -   ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,0,0,0,0,0,0,0.036,0,0,0.036, -   , 1 , -   , -   , 1 
2011,3,TX, -   , -   ,,, -   , 0.47 , 0.25 , -   , -   , 0.72 , 94 , 23 , -   , -   , 117 , -   , -   ,,, -   , 0 , 0 , -   , -   , 0 , 22 , 5 , -   , -   , 27 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,0,0,0,0,0,0.522,0.34,0,0,0.862, 116 , 28 , -   , -   , 144 
2011,3,UT, 0.09 , -   , -   , -   , 0.09 , 0.40 , 0.39 , -   , -   , 0.78 , 122 , 25 , -   , -   , 147 ,,,,, -   , 0 , -   , -   , -   , 0 , 3 , -   , -   , -   , 3 ,,,,,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,,,,,0,0,0,0,0,0, -   , -   , -   , -   , -   ,0.087,0,0,0,0.087,0.406,0.386,0,0,0.792, 125 , 25 , -   , -   , 150 
2011,3,VA, -   , -   , -   , -   , -   , 2.66 , 0.76 , 0.01 , -   , 3.43 , 597 , 64 , 1 , -   , 662 , -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , 0 , 37 , 6 , 1 , -   , 44 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,0,0,0,0,0,2.789,0.786,0.019,0,3.594, 634 , 70 , 2 , -   , 706 
2011,3,VT, 20.83 , 65.46 , -   , -   , 86.28 , 3.89 , 2.69 , 0.17 , -   , 6.75 , 691 , 73 , 2 , -   , 766 , -   , 0 , -   , -   , 0 , 0 , 0 , -   , -   , 0 , 16 , 4 , -   , -   , 20 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,0.396,0.016,0,0,0.412, 62 , 1 , -   , -   , 63 ,20.825,65.693,0,0,86.518,4.4,2.773,0.165,0,7.338, 769 , 78 , 2 , -   , 849 
2011,3,WA, 7.07 , 4.63 , -   , -   , 11.70 , 3.73 , 0.80 , 0.02 , -   , 4.56 , 971 , 122 , 1 , -   ," 1,094 ", 0 , -   , -   , -   , 0 , 0 , 0 , -   , -   , 0 , 56 , 3 , -   , -   , 59 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 1 , -   , -   , -   , 1 ,1.96,0,0,0,1.96,0.163,0.002,0,0,0.165, 15 , 1 , -   , -   , 16 ,9.045,4.63,0,0,13.675,4.144,1.018,0.024,0,5.186," 1,043 ", 126 , 1 , -   ," 1,170 "
2011,3,WI, 4.22 , 1.83 , -   , -   , 6.05 , 1.91 , 1.69 , 0.02 , -   , 3.62 , 398 , 171 , 1 , -   , 570 , 1 , 2 , -   , -   , 3 , 1 , 2 , -   , -   , 2 , 85 , 74 , -   , -   , 159 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,0.052,8.42,0,0,8.472, 2 , 38 , -   , -   , 40 ,5.046,4.317,0,0,9.363,2.756,11.616,0.019,0,14.391, 485 , 283 , 1 , -   , 769 
2011,3,WV, 0.26 , 0.20 , -   , -   , 0.46 , 0.38 , 0.23 , -   , -   , 0.61 , 94 , 18 , -   , -   , 112 , -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 26 , 3 , -   , -   , 29 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,0.001,,,0.001,, 1 ,,, 1 ,0.258,0.204,0,0,0.462,0.458,0.24,0,0,0.698, 120 , 22 , -   , -   , 142 
2011,3,WY, 5.57 , 1.64 , -   , -   , 7.21 , 0.09 , 0.11 , -   , -   , 0.19 , 24 , 7 , -   , -   , 31 , 40 , 7 , -   , -   , 46 , 0 , 0 , -   , -   , 0 , 62 , 3 , -   , -   , 65 ,,,,,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,11.869,0.421,0,0,12.29,0.364,0.033,0,0,0.397, 70 , 4 , -   , -   , 74 ,57.179,8.669,0,0,65.848,0.641,0.202,0,0,0.843, 156 , 14 , -   , -   , 170 
2011,4,AK, 0.93 , 0.06 , -   , -   , 0.99 , 0.02 , 0.02 , 0.01 , -   , 0.04 , 11 , 5 , 1 , -   , 17 , 1 , 0 , -   , -   , 1 , 0 , 0 , -   , -   , 0 , 25 , 6 , -   , -   , 31 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,1.523,0.092,0,0,1.615,0.101,0.036,0.008,0,0.145, 36 , 11 , 1 , -   , 48 
2011,4,AR, -   , -   , -   , -   , -   , 0.44 , 0.17 , -   , -   , 0.61 , 99 , 15 , -   , -   , 114 , -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 6 , 4 , -   , -   , 10 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,0,0,0,0,0,0.473,0.229,0,0,0.702, 105 , 19 , -   , -   , 124 
2011,4,AZ," 1,560.83 ", 507.83 ," 2,222.33 ", -   ," 4,290.99 ", 28.93 , 20.50 , 10.43 , -   , 59.87 ," 5,175 ", 210 , 60 , -   ," 5,445 ", 17 , 0 , -   , -   , 17 , 0 , 0 , 0 , -   , 0 , 107 , 4 , 1 , -   , 112 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,1578.087,507.937,2222.329,0,4308.353,29.238,20.506,10.451,0,60.195," 5,282 ", 214 , 61 , -   ," 5,557 "
2011,4,CA, 941.97 , 436.95 , 256.04 , -   ," 1,634.97 ", 208.27 , 70.41 , 195.55 , -   , 474.24 ," 45,023 ", 824 ," 1,702 ", -   ," 47,549 ", 13 , -   , -   , -   , 13 , 3 , 1 , 2 , -   , 6 , 376 , 10 , 18 , -   , 404 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0.137,2.49,8.899,0,11.526, 22 , 4 , 19 , -   , 45 ,955.174,436.949,256.043,0,1648.166,211.257,74.124,206.809,0,492.19," 45,421 ", 838 ," 1,739 ", -   ," 47,998 "
2011,4,CO, 33.64 , 0.90 , -   , -   , 34.54 , 4.55 , 5.40 , 0.33 , -   , 10.28 , 916 , 205 , 5 , -   ," 1,126 ", -   , -   , -   , -   , -   , 0 , 1 , 2 , -   , 3 , 31 , 17 , 1 , -   , 49 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,3.45, -   , -   , 5 , -   , 5 ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,33.639,0.897,0,0,34.536,4.659,6.373,5.576,0,16.608, 947 , 222 , 11 , -   ," 1,180 "
2011,4,CT, 23.56 , 53.39 , 9.44 , -   , 86.39 , 13.26 , 16.28 , 1.35 , -   , 30.89 ," 2,065 ", 342 , 10 , -   ," 2,417 ", -   , -   , 4 , -   , 4 , 0 , 0 , 0 , -   , 0 , 16 , 5 , 1 , -   , 22 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,3.4,0,0,3.4,0.12,4.935,2.025,0,7.08, 9 , 19 , 4 , -   , 32 ,23.555,56.792,13.74,0,94.087,13.452,21.253,3.47,0,38.175," 2,090 ", 366 , 15 , -   ," 2,471 "
2011,4,DC, -   , -   , -   , -   , -   , 1.30 , 0.94 , -   , -   , 2.24 , 341 , 22 , -   , -   , 363 ,,,,, -   ,,,,, -   ,,,,, -   ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,0,0,0,0,0,1.303,0.935,0,0,2.238, 341 , 22 , -   , -   , 363 
2011,4,DE, 11.69 , 19.20 , -   , -   , 30.89 , 4.15 , 3.48 , 0.11 , -   , 7.74 , 704 , 122 , 4 , -   , 830 , -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 20 , 7 , -   , -   , 27 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,11.69,19.2,0,0,30.89,4.193,3.585,0.113,0,7.891, 724 , 129 , 4 , -   , 857 
2011,4,FL, 250.55 , 68.43 , -   , -   , 318.98 , 8.75 , 7.38 , -   , -   , 16.12 ," 1,802 ", 237 , -   , -   ," 2,039 ", 0 , 1 , -   , -   , 1 , 0 , 0 , -   , -   , 0 , 5 , 15 , -   , -   , 20 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,250.567,69.317,0,0,319.884,8.76,7.412,0,0,16.172," 1,807 ", 252 , -   , -   ," 2,059 "
2011,4,GA, 48.51 , 111.70 , -   , -   , 160.21 , 1.68 , 0.94 , -   , -   , 2.62 , 109 , 57 , -   , -   , 166 ,,,,, -   ,,,,, -   ,,,,, -   ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,48.51,111.7,0,0,160.21,1.675,0.944,0,0,2.619, 109 , 57 , -   , -   , 166 
2011,4,HI, 93.69 , 33.91 , -   , -   , 127.60 , 16.81 , 16.73 , -   , -   , 33.54 ," 5,134 ", 522 , -   , -   ," 5,656 ", 1 , -   , -   , -   , 1 , 0 , 0 , -   , -   , 0 , 29 , 5 , -   , -   , 34 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,0,0.049,0,0,0.049, -   , 1 , -   , -   , 1 ,94.771,33.91,0,0,128.681,16.884,16.871,0,0,33.755," 5,163 ", 528 , -   , -   ," 5,691 "
2011,4,IA, 1.62 , 0.05 , -   , -   , 1.67 , 0.12 , 0.11 , -   , -   , 0.24 , 27 , 14 , -   , -   , 41 , 35 , 42 , -   , -   , 77 , 1 , 3 , 0 , -   , 5 , 88 , 51 , 2 , -   , 141 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00, -   , -   , 1 , -   , 1 ,0,163.1,0,0,163.1,0,1.292,0.346,0,1.638, -   , 3 , 2 , -   , 5 ,36.387,205.056,0,0,241.443,1.167,4.905,2.502,0,8.574, 115 , 68 , 5 , -   , 188 
2011,4,ID, -   , -   , -   , -   , -   , 0.37 , 0.13 , 0.02 , -   , 0.52 , 109 , 22 , 1 , -   , 132 , -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 52 , 3 , -   , -   , 55 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0.05,0.098,0,0,0.148, 11 , 5 , -   , -   , 16 ,0,0,0,0,0,0.724,0.327,0.024,0,1.075, 172 , 30 , 1 , -   , 203 
2011,4,IL, 0.40 , -   , -   , -   , 0.40 , 0.73 , 0.46 , -   , -   , 1.19 , 202 , 26 , -   , -   , 228 , 0 , 34 , -   , -   , 34 , 0 , 2 , -   , -   , 2 , 52 , 10 , -   , -   , 62 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0.786,1.404,0,0,2.19, 139 , 44 , -   , -   , 183 ,0.667,34.105,0,0,34.772,1.727,3.7,0,0,5.427, 393 , 80 , -   , -   , 473 
2011,4,IN, 0.70 , 0.78 , -   , -   , 1.48 , 0.30 , 0.15 , -   , -   , 0.46 , 80 , 37 , -   , -   , 117 , -   , -   , -   , -   , -   , 0 , 0 , -   , -   , 0 , 40 , 7 , -   , -   , 47 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,0.698,0.783,0,0,1.481,0.45,0.182,0,0,0.632, 120 , 44 , -   , -   , 164 
2011,4,KS,,,,, -   , 0.14 , 0.32 , -   , -   , 0.46 , 32 , 16 , -   , -   , 48 ,,,,, -   , 0 , 0 , -   , -   , 1 , 25 , 13 , -   , -   , 38 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,0,0,0,0,0,0.248,0.815,0,0,1.063, 57 , 29 , -   , -   , 86 
2011,4,KY, 8.39 , 2.06 , -   , -   , 10.45 , 0.19 , 0.20 , -   , -   , 0.39 , 88 , 21 , -   , -   , 109 , 0 , -   , -   , -   , 0 , 0 , 0 , -   , -   , 0 , 3 , 1 , -   , -   , 4 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,8.58,2.06,0,0,10.64,0.197,0.203,0,0,0.4, 91 , 22 , -   , -   , 113 
2011,4,LA, -   , -   , -   , -   , -   , 2.86 , 0.25 , -   , -   , 3.11 , 766 , 19 , -   , -   , 785 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   ,0,0,0,0,0,2.855,0.252,0,0,3.107, 766 , 19 , -   , -   , 785 
2011,4,MA, 2.57 , 0.72 , -   , -   , 3.29 , 5.19 , 14.69 , 0.35 , -   , 20.22 ," 1,274 ", 334 , 3 , -   ," 1,611 ",,,,, -   , 0 , 7 , 1 , -   , 8 , 27 , 15 , 1 , -   , 43 ,,,,,0.00,0.07,0.44,0.42,0.00,0.92, 52 , 9 , 1 , -   , 62 ,0,311.9,0,0,311.9,0.021,2.309,0,0,2.33, 8 , 5 , -   , -   , 13 ,2.568,312.618,0,0,315.186,5.415,24.528,1.367,0,31.31," 1,361 ", 363 , 5 , -   ," 1,729 "
2011,4,MD, 1.96 , 14.57 , -   , -   , 16.54 , 3.72 , 5.31 , -   , -   , 9.02 , 743 , 74 , -   , -   , 817 , -   , -   , -   , -   , -   , 1 , 0 , -   , -   , 1 , 36 , 9 , -   , -   , 45 ,,,,,0.00,,,,,0.00,,,,, -   ,,,,,0,,,,,0,,,,, -   ,1.963,14.574,0,0,16.537,4.505,5.429,0,0,9.934, 779 , 83 , -   , -   , 862 
2011,4,ME, 79.86 , 22.17 , -   , -   , 102.03 , 1.34 , 0.68 , -   , -   , 2.02 , 380 , 62 , -   , -   , 442 , 3 , 3 , -   , -   , 6 , 0 , 0 , -   , -   , 1 , 185 , 29 , -   , -   , 214 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 1 , -   , -   , -   , 1 ,3.224,70.593,0,0,73.817,0.139,0.222,0,0,0.361, 4 , 5 , -   , -   , 9 ,86.316,95.888,0,0,182.204,1.97,1.108,0,0,3.078, 570 , 96 , -   , -   , 666 
