Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,Month,State,Utility Number,Utility Name,Data Status,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2018,1,AK,219,Alaska Power and Telephone Co,Final,AC,0.012,0.021,.,.,0.033,3,2,.,.,5,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.012,0.021,NM,0.000,0.033,3,2,0,0,5,0.000,0.000,0.000,0.000,0.000
2018,1,AK,599,Anchorage Municipal Light and Power,Final,AC,0.056,0.181,.,.,0.237,22,13,.,.,35,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,0.002,.,.,0.002,.,1,.,.,1,.,0.013,.,.,0.013,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.056,0.183,NM,0.000,0.239,22,14,0,0,36,0.000,0.013,0.000,0.000,0.013
2018,1,AK,3522,Chugach Electric Assn Inc,Final,AC,0.195,0.080,.,.,0.275,84,8,.,.,92,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,0.008,.,.,0.008,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.195,0.088,NM,0.000,0.283,84,11,0,0,95,0.000,0.000,0.000,0.000,0.000
2018,1,AK,7353,Golden Valley Elec Assn Inc,Final,AC,0.531,0.232,0.043,.,0.806,133,22,4,.,159,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.000,0.000,0.000,.,0.000,0.013,0.009,.,.,0.022,4,2,.,.,6,0.000,0.000,0.000,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.544,0.241,0.043,0.000,0.828,137,24,4,0,165,0.000,0.000,0.000,0.000,0.000
2018,1,AK,11824,Matanuska Electric Assn Inc,Final,AC,0.337,0.072,.,.,0.409,79,9,.,.,88,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.058,0.021,.,.,0.079,18,5,.,.,23,.,.,.,.,0.000,0.030,.,.,.,0.030,6,.,.,.,6,.,.,.,.,0.000,0.425,0.093,NM,0.000,0.518,103,14,0,0,117,0.000,0.000,0.000,0.000,0.000
2018,1,AK,19558,Homer Electric Assn Inc,Final,DC,0.187,0.038,.,.,0.225,60,8,.,.,68,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.675,0.039,.,.,0.714,0.100,0.015,.,.,0.115,29,4,.,.,33,1.075,1.461,.,.,2.536,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.287,0.053,NM,0.000,0.340,89,12,0,0,101,1.750,1.500,0.000,0.000,3.250
2018,1,AK,99999,Adjustment 2018,Final,,-0.005,0.012,.,.,0.008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.005,0.012,.,.,0.008,.,.,.,.,.,.,.,.,.,.
2018,1,AL,99999,Adjustment 2018,Final,,NM,.,.,.,NM,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NM,.,.,.,NM,.,.,.,.,.,.,.,.,.,.
2018,1,AR,814,Entergy Arkansas LLC,Final,DC,1.416,0.620,.,.,2.036,246,41,.,.,287,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.007,0.008,.,.,0.015,1,3,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.423,0.628,NM,0.000,2.051,247,44,0,0,291,0.000,0.000,0.000,0.000,0.000
2018,1,AR,817,Arkansas Valley Elec Coop Corp,Final,AC,0.275,0.017,.,.,0.292,46,1,.,.,47,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.006,.,.,.,0.006,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,0.000,.,.,.,0.000,0.281,0.017,NM,0.000,0.298,47,1,0,0,48,0.000,0.000,0.000,0.000,0.000
2018,1,AR,3093,Carroll Electric Coop Corp - (AR),Final,DC,1.523,.,.,.,1.523,219,.,.,.,219,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.016,.,.,.,0.016,4,.,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.539,NM,NM,0.000,1.539,223,0,0,0,223,0.000,0.000,0.000,0.000,0.000
2018,1,AR,5860,Empire District Electric Co,Final,DC,0.035,.,.,.,0.035,4,.,.,.,4,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.035,NM,NM,0.000,0.035,4,0,0,0,4,0.000,0.000,0.000,0.000,0.000
2018,1,AR,6342,First Electric Coop Corp,Final,AC,0.537,.,.,.,0.537,71,.,.,.,71,0.000,.,.,.,0.000,0,.,.,.,0,0.000,.,.,.,0.000,0,.,.,.,0,0.000,.,.,.,0.000,0.010,.,.,.,0.010,1,.,.,.,1,0.000,.,.,.,0.000,0.000,.,.,.,0.000,0,.,.,.,0,.,.,.,.,0.000,0.547,NM,NM,0.000,0.547,72,0,0,0,72,0.000,0.000,0.000,0.000,0.000
2018,1,AR,13718,City of North Little Rock - (AR),Final,AC,0.050,1.200,.,.,1.250,3,5,.,.,8,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.050,1.200,NM,0.000,1.250,3,5,0,0,8,0.000,0.000,0.000,0.000,0.000
2018,1,AR,14063,Oklahoma Gas & Electric Co,Final,AC,0.095,0.037,0.000,0.000,0.132,17,4,0,0,21,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,.,.,.,.,0.000,0.004,0.001,0.000,0.000,0.005,1,1,0,0,2,.,.,.,.,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,.,.,.,.,0.000,0.099,0.038,NM,0.000,0.137,18,5,0,0,23,0.000,0.000,0.000,0.000,0.000
2018,1,AR,17698,Southwestern Electric Power Co,Final,AC,0.307,0.460,0.000,0.000,0.767,61,15,0,0,76,0.008,0.000,0.000,0.000,0.008,2,0,0,0,2,0.025,0.165,0.000,0.000,0.190,2,3,0,0,5,10.708,13.372,0.000,0.000,24.080,0.000,0.005,0.000,0.000,0.005,0,2,0,0,2,0.000,0.008,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.332,0.630,NM,0.000,0.962,63,20,0,0,83,10.708,13.380,0.000,0.000,24.088
2018,1,AR,99999,Adjustment 2018,Final,,2.166,0.712,.,.,2.878,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.166,0.712,.,.,2.878,.,.,.,.,.,.,.,.,.,.
2018,1,AZ,176,Ajo Improvement Co,Final,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,0.265,.,.,0.265,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,NM,0.033,NM,0.000,0.033,0,3,0,0,3,0.000,0.265,0.000,0.000,0.265
