Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
2018,1,AZ,803,Arizona Public Service Co,Final,DC,578.240,255.017,.,.,833.257,"75,332","1,304",.,.,"76,636",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.061,0.126,.,.,0.187,25,11,.,.,36,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,578.301,255.143,NM,0.000,833.444,"75,357","1,315",0,0,"76,672",0.000,0.000,0.000,0.000,0.000
2018,1,AZ,12919,Morenci Water and Electric,Final,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,1.095,.,.,1.095,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,NM,0.033,NM,0.000,0.033,0,3,0,0,3,0.000,1.095,0.000,0.000,1.095
2018,1,AZ,16572,Salt River Project,Final,AC,112.535,55.243,5.202,0.000,172.980,"17,274",520,3,0,"17,797",.,.,.,0.000,0.000,.,.,.,0,0,6.027,6.141,0.000,0.000,12.168,"2,253",85,0,0,"2,338",850.700,"1,187.000",0.000,0.000,"2,037.700",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,118.562,61.384,5.202,0.000,185.148,"19,527",605,3,0,"20,135",850.700,"1,187.000",0.000,0.000,"2,037.700"
2018,1,AZ,19189,Trico Electric Cooperative Inc,Final,DC,13.210,8.797,.,.,22.007,"1,899",42,.,.,"1,941",.,.,.,.,0.000,.,.,.,.,0,0.044,.,.,.,0.044,48,.,.,.,48,830.813,760.018,.,.,"1,590.831",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,13.254,8.797,NM,0.000,22.051,"1,947",42,0,0,"1,989",830.813,760.018,0.000,0.000,"1,590.831"
2018,1,AZ,19728,"UNS Electric, Inc",Final,DC,24.925,7.444,0.870,.,33.239,"2,793",131,7,.,"2,931",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,"1,729.760",274.787,33.982,.,"2,038.529",0.295,0.006,.,.,0.301,98,3,.,.,101,16.703,0.078,.,.,16.781,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,25.220,7.450,0.870,0.000,33.540,"2,891",134,7,0,"3,032","1,746.463",274.865,33.982,0.000,"2,055.310"
2018,1,AZ,21538,"Mohave Electric Cooperative, I",Final,AC,5.182,1.831,.,.,7.013,593,74,.,.,667,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,196.668,38.951,.,.,235.619,0.055,.,.,.,0.055,25,.,.,.,25,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,5.237,1.831,NM,0.000,7.068,618,74,0,0,692,196.668,38.951,0.000,0.000,235.619
2018,1,AZ,24211,Tucson Electric Power Co,Final,DC,123.420,107.410,0.000,.,230.830,"16,028",571,0,.,"16,599",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,"7,692.106","3,764.369",.,.,"11,456.475",.,0.015,.,.,0.015,.,1,.,.,1,.,.,0.000,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,123.420,107.425,NM,0.000,230.845,"16,028",572,0,0,"16,600","7,692.106","3,764.369",0.000,0.000,"11,456.475"
2018,1,AZ,61823,"Greenskies Renewable Energy, LLC",Final,DC,.,3.080,.,.,3.080,.,8,.,.,8,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,NM,3.080,NM,0.000,3.080,0,8,0,0,8,0.000,0.000,0.000,0.000,0.000
2018,1,AZ,99999,Adjustment 2018,Final,,-114.633,-61.178,-0.152,.,-175.963,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.008,.,.,.,-0.008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-114.641,-61.178,-0.152,.,-175.971,.,.,.,.,.,.,.,.,.,.
2018,1,CA,9216,Imperial Irrigation District,Final,AC,28.640,27.814,.,.,56.454,"4,820",173,.,.,"4,993",.,.,.,.,0.000,.,.,.,.,0,0.842,0.137,.,.,0.979,425,22,.,.,447,.,.,.,.,0.000,0.002,.,.,.,0.002,1,.,.,.,1,.,.,.,.,0.000,.,2.130,.,.,2.130,.,5,.,.,5,.,.,.,.,0.000,29.484,30.081,NM,0.000,59.565,"5,246",200,0,0,"5,446",0.000,0.000,0.000,0.000,0.000
2018,1,CA,11208,Los Angeles Department of Water & Power,Final,AC,159.965,86.646,.,.,246.611,"32,253","1,193",.,.,"33,446",0.069,0.114,.,.,0.183,10,3,.,.,13,.,.,.,.,0.000,.,.,.,.,0,"5,418.847","1,049.470",.,.,"6,468.317",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,159.965,86.646,NM,0.000,246.611,"32,253","1,193",0,0,"33,446","5,418.847","1,049.470",0.000,0.000,"6,468.317"
2018,1,CA,12745,Modesto Irrigation District,Final,AC,25.891,9.475,8.054,0.000,43.420,"4,417",116,44,0,"4,577",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,25.891,9.475,8.054,0.000,43.420,"4,417",116,44,0,"4,577",0.000,0.000,0.000,0.000,0.000
2018,1,CA,14328,Pacific Gas & Electric Co.,Final,AC,"1,760.827",718.497,571.038,.,"3,050.362","329,802","8,481","2,829",.,"341,112",3.776,7.664,15.324,.,26.764,639,33,37,.,709,10.991,8.797,0.138,.,19.926,"4,876","1,075",4,.,"5,955",.,.,.,.,0.000,1.007,0.628,11.755,.,13.390,183,37,36,.,256,.,.,.,.,0.000,0.110,9.831,121.339,.,131.280,16,32,216,.,264,.,.,.,.,0.000,"1,772.935",737.753,704.270,0.000,"3,214.958","334,877","9,625","3,085",0,"347,587",0.000,0.000,0.000,0.000,0.000
2018,1,CA,14354,PacifiCorp,Final,DC,2.432,2.117,1.973,0.000,6.522,326,38,17,0,381,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.001,0.005,0.000,0.000,0.006,1,2,0,0,3,.,.,.,.,0.000,0.011,0.000,0.000,0.000,0.011,2,0,0,0,2,.,.,.,.,0.000,2.444,2.122,1.973,0.000,6.539,329,40,17,0,386,0.000,0.000,0.000,0.000,0.000
2018,1,CA,14534,City of Pasadena - (CA),Final,AC,5.113,4.035,.,.,9.148,"1,168",55,.,.,"1,223",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,157.000,67.000,.,.,224.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,5.113,4.035,NM,0.000,9.148,"1,168",55,0,0,"1,223",157.000,67.000,0.000,0.000,224.000
2018,1,CA,16534,Sacramento Municipal Util Dist,Final,AC,87.819,44.006,28.957,.,160.782,"20,136",397,45,.,"20,578",0.102,0.036,0.500,.,0.638,34,1,1,.,36,0.580,0.304,.,.,0.884,486,36,.,.,522,.,.,.,.,0.000,0.002,.,0.005,.,0.007,1,.,1,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,88.401,44.310,28.962,0.000,161.673,"20,623",433,46,0,"21,102",0.000,0.000,0.000,0.000,0.000
2018,1,CA,16609,San Diego Gas & Electric Co,Final,AC,642.680,129.090,54.320,0.000,826.090,"122,446","2,916",72,0,"125,434",3.220,1.070,0.000,0.000,4.290,586,25,0,0,611,8.050,1.810,1.190,0.000,11.050,288,30,2,0,320,1.490,0.400,0.060,0.000,1.950,0.120,0.020,1.000,0.000,1.140,37,4,1,0,42,0.000,0.000,0.000,0.000,0.000,0.030,11.170,9.700,0.000,20.900,3,45,13,0,61,0.000,0.000,0.000,0.000,0.000,650.880,142.090,66.210,0.000,859.180,"122,774","2,995",88,0,"125,857",1.490,0.400,0.060,0.000,1.950
2018,1,CA,16655,City of Santa Clara - (CA),Final,AC,0.932,0.754,0.000,0.000,1.686,240,8,0,0,248,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.932,0.754,NM,0.000,1.686,240,8,0,0,248,0.000,0.000,0.000,0.000,0.000
2018,1,CA,17609,Southern California Edison Co,Final,AC,"1,334.094",494.580,224.094,.,"2,052.768","249,342","4,840",482,.,"254,664",3.804,7.870,1.330,.,13.004,703,66,4,.,773,6.920,11.011,.,.,17.931,77,549,.,.,626,.,.,.,.,0.000,2.151,4.965,3.160,.,10.276,254,16,7,.,277,.,.,.,.,0.000,0.806,37.328,31.366,.,69.500,82,115,47,.,244,.,.,.,.,0.000,"1,343.971",547.884,258.620,0.000,"2,150.475","249,755","5,520",536,0,"255,811",0.000,0.000,0.000,0.000,0.000
2018,1,CA,17612,Bear Valley Electric Service,Final,AC,1.825,1.348,0.000,0.000,3.173,413,19,0,0,432,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.048,0.010,0.000,0.000,0.058,6,1,0,0,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.873,1.358,NM,0.000,3.231,419,20,0,0,439,0.000,0.000,0.000,0.000,0.000
2018,1,CA,19281,Turlock Irrigation District,Final,AC,10.171,8.629,14.404,.,33.204,"1,582",54,91,.,"1,727",.,.,.,.,0.000,.,.,.,.,0,0.063,.,2.756,.,2.819,3,.,6,.,9,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,10.234,8.629,17.160,0.000,36.023,"1,585",54,97,0,"1,736",0.000,0.000,0.000,0.000,0.000
2018,1,CA,61823,"Greenskies Renewable Energy, LLC",Final,DC,.,19.700,.,.,19.700,.,54,.,.,54,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,NM,19.700,NM,0.000,19.700,0,54,0,0,54,0.000,0.000,0.000,0.000,0.000
2018,1,CA,99999,Adjustment 2018,Final,,74.284,61.999,2.306,0.000,138.589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74.284,61.999,2.306,0.000,138.589,.,.,.,.,.,.,.,.,.,.
2018,1,CO,3989,City of Colorado Springs - (CO),Final,AC,2.573,4.645,.,.,7.218,552,72,.,.,624,.,.,.,.,0.000,.,.,.,.,0,0.800,5.120,.,.,5.920,438,66,.,.,504,.,.,.,.,0.000,0.002,0.006,.,.,0.008,1,1,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.375,9.771,NM,0.000,13.146,991,139,0,0,"1,130",0.000,0.000,0.000,0.000,0.000
2018,1,CO,6604,City of Fort Collins - (CO),Final,DC,5.060,1.202,0.180,0.000,6.442,928,56,1,0,985,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.620,0.000,0.000,0.000,0.620,200,0,0,0,200,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.200,0.000,1.200,0,0,2,0,2,0.000,0.000,0.000,0.000,0.000,5.681,1.202,1.380,0.000,8.263,"1,129",56,3,0,"1,188",0.000,0.000,0.000,0.000,0.000
2018,1,CO,9336,Intermountain Rural Elec Assn,Final,AC,9.152,0.056,0.000,0.000,9.208,"1,440",4,0,0,"1,444",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.046,0.000,0.000,0.000,0.046,17,0,0,0,17,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,9.198,0.056,NM,0.000,9.254,"1,457",4,0,0,"1,461",0.000,0.000,0.000,0.000,0.000
2018,1,CO,12866,Moon Lake Electric Assn Inc,Final,AC,0.006,0.100,0.000,0.000,0.106,1,5,0,0,6,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.288,0.000,0.000,0.288,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.006,0.100,NM,0.000,0.106,1,5,0,0,6,0.000,0.288,0.000,0.000,0.288
2018,1,CO,15257,"Poudre Valley REA, Inc",Final,DC,2.881,0.193,0.098,0.000,3.172,401,17,5,0,423,.,.,.,.,0.000,.,.,.,.,0,0.744,0.000,0.000,0.000,0.744,160,0,0,0,160,65.070,0.000,0.000,0.000,65.070,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.625,0.193,0.098,0.000,3.916,561,17,5,0,583,65.070,0.000,0.000,0.000,65.070
2018,1,CO,15466,Public Service Co of Colorado,Final,DC,173.743,120.550,0.639,0.000,294.932,"31,065","2,296",13,0,"33,374",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,173.743,120.550,0.639,0.000,294.932,"31,065","2,296",13,0,"33,374",0.000,0.000,0.000,0.000,0.000
2018,1,CO,16603,"San Luis Valley R E C, Inc",Final,AC,0.323,0.104,0.030,0.000,0.457,75,11,2,0,88,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.003,.,.,.,0.003,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.326,0.104,0.030,0.000,0.460,77,11,2,0,90,0.000,0.000,0.000,0.000,0.000
2018,1,CO,19499,"United Power, Inc",Final,AC,13.731,0.389,0.021,.,14.141,"2,251",13,1,.,"2,265",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.022,0.012,.,.,0.034,8,2,.,.,10,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,13.753,0.401,0.021,0.000,14.175,"2,259",15,1,0,"2,275",0.000,0.000,0.000,0.000,0.000
2018,1,CO,27058,"High West Energy, Inc",Final,AC,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.006,.,.,.,0.006,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.006,NM,NM,0.000,0.006,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
2018,1,CO,56146,"Black Hills Colorado Electric, LLC",Final,DC,7.552,6.013,0.100,.,13.665,"1,045",199,1,.,"1,245",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.000,1.800,.,1.800,0,0,1,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,7.552,6.013,1.900,0.000,15.465,"1,045",199,2,0,"1,246",0.000,0.000,0.000,0.000,0.000
2018,1,CO,99999,Adjustment 2018,Final,,-8.829,-18.120,0.220,0.000,-26.729,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.238,0.000,0.000,0.000,-0.238,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-9.067,-18.120,0.220,0.000,-26.967,.,.,.,.,.,.,.,.,.,.
