Utility Level Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Charateristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,Month,State,Utility Number,Utility Name,Data Status,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2013,12,OK,13734,Northeast Oklahoma Electric Co,Final,0.017,0.005,0.000,0.000,0.022,4,1,0,0,5,0.537,0.000,0.000,0.000,0.537,0.015,0.000,0.000,0.000,0.015,2,0,0,0,2,0.595,0.000,0.000,0.000,0.595,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.032,0.005,0.000,0.000,0.037,6,1,0,0,7,1.132,0.000,0.000,0.000,1.132
2013,12,OK,14062,Oklahoma Electric Coop Inc,Final,0.132,.,.,.,0.132,32,.,.,.,32,.,.,.,.,0.000,0.083,.,.,.,0.083,24,.,.,.,24,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.215,0.000,0.000,0.000,0.215,56,0,0,0,56,0.000,0.000,0.000,0.000,0.000
2013,12,OK,14063,Oklahoma Gas & Electric Co,Final,0.457,0.173,0.000,0.000,0.630,105,12,0,0,117,0.000,0.000,0.000,0.000,0.000,0.121,0.402,0.000,0.000,0.523,14,11,0,0,25,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.020,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000,0.598,0.575,0.000,0.000,1.173,122,23,0,0,145,0.000,0.000,0.000,0.000,0.000
2013,12,OK,15474,Public Service Co of Oklahoma,Final,0.181,0.113,0.000,0.000,0.294,55,7,0,0,62,4.000,2.000,0.000,0.000,6.000,0.045,0.043,0.000,0.000,0.088,9,5,0,0,14,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.226,0.156,0.000,0.000,0.382,64,12,0,0,76,5.000,2.000,0.000,0.000,7.000
2013,12,OK,19785,Verdigris Valley Elec Coop Inc,Final,0.015,.,.,.,0.015,6,.,.,.,6,1.276,.,.,.,1.276,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.015,0.000,0.000,0.000,0.015,6,0,0,0,6,1.276,0.000,0.000,0.000,1.276
2013,12,OR,6022,City of Eugene - (OR),Final,0.650,0.581,.,.,1.231,179,18,.,.,197,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.650,0.581,0.000,0.000,1.231,179,18,0,0,197,0.000,0.000,0.000,0.000,0.000
2013,12,OR,9191,Idaho Power Co,Final,0.012,0.136,0.013,0.000,0.161,4,5,1,.,10,.,.,.,.,0.000,0.005,.,.,.,0.005,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.017,0.136,0.013,0.000,0.166,6,5,1,0,12,0.000,0.000,0.000,0.000,0.000
2013,12,OR,14354,PacifiCorp,Final,10.597,14.397,1.337,0.000,26.331,"2,776",450,93,0,"3,319",.,.,.,.,0.000,0.068,0.027,0.000,0.000,0.095,17,7,0,0,24,.,.,.,.,0.000,0.061,1.700,0.000,0.000,1.761,7,9,0,0,16,.,.,.,.,0.000,10.726,16.124,1.337,0.000,28.187,"2,800",466,93,0,"3,359",0.000,0.000,0.000,0.000,0.000
2013,12,OR,15248,Portland General Electric Co,Final,12.864,12.257,0.000,0.000,25.121,"3,144",277,0,0,"3,421",193.055,113.201,0.000,0.000,306.256,0.251,0.512,0.000,0.000,0.763,26,8,0,0,34,3.972,19.328,0.000,0.000,23.300,0.008,0.728,0.000,0.000,0.736,1,8,0,0,9,0.411,0.000,0.000,0.000,0.411,13.123,13.497,0.000,0.000,26.620,"3,171",293,0,0,"3,464",197.438,132.529,0.000,0.000,329.967
2013,12,OR,18260,Surprise Valley Electrification,Final,0.015,0.015,.,.,0.030,1,1,.,.,2,0.000,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.015,0.015,0.000,0.000,0.030,1,1,0,0,2,0.000,0.000,0.000,0.000,0.000
2013,12,OR,40437,Emerald People's Utility Dist,Final,0.179,0.076,0.000,0.000,0.255,45,8,0,0,53,0.530,0.554,0.000,0.000,1.084,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.179,0.076,0.000,0.000,0.255,45,8,0,0,53,0.530,0.554,0.000,0.000,1.084
2013,12,PA,3597,Citizens Electric Co - (PA),Final,0.092,0.560,0.003,0.000,0.655,16,5,1,0,22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.092,0.560,0.003,0.000,0.655,16,5,1,0,22,0.000,0.000,0.000,0.000,0.000
2013,12,PA,5487,Duquesne Light Co,Final,1.164,1.949,1.327,.,4.440,192,37,1,.,230,.,.,.,.,0.000,0.077,0.014,.,.,0.091,14,3,.,.,17,.,.,.,.,0.000,.,0.065,.,.,0.065,.,1,.,.,1,.,.,.,.,0.000,1.241,2.028,1.327,0.000,4.596,206,41,1,0,248,0.000,0.000,0.000,0.000,0.000
2013,12,PA,12390,Metropolitan Edison Co,Final,13.110,11.581,4.774,0.000,29.465,"1,402",183,10,0,"1,595",0.000,0.000,0.000,0.000,0.000,0.080,0.102,0.000,0.000,0.182,22,2,0,0,24,0.000,0.000,0.000,0.000,0.000,0.007,0.143,1.900,0.000,2.050,3,1,2,0,6,0.000,0.000,0.000,0.000,0.000,13.197,11.826,6.674,0.000,31.697,"1,427",186,12,0,"1,625",0.000,0.000,0.000,0.000,0.000
2013,12,PA,14711,Pennsylvania Electric Co,Final,2.333,2.037,0.000,0.000,4.370,304,47,0,0,351,0.000,0.000,0.000,0.000,0.000,0.161,0.059,0.000,0.000,0.220,34,11,0,0,45,0.000,0.000,0.000,0.000,0.000,0.000,1.025,2.610,0.000,3.635,0,5,2,0,7,0.000,0.000,0.000,0.000,0.000,2.494,3.121,2.610,0.000,8.225,338,63,2,0,403,0.000,0.000,0.000,0.000,0.000
2013,12,PA,14715,PPL Electric Utilities Corp,Final,19.323,41.889,8.695,0.000,69.907,"2,642",424,38,0,"3,104",.,.,.,.,0.000,0.266,0.151,0.000,0.000,0.417,91,19,0,0,110,.,.,.,.,0.000,0.128,16.941,0.000,0.000,17.069,7,21,0,0,28,.,.,.,.,0.000,19.717,58.981,8.695,0.000,87.393,"2,740",464,38,0,"3,242",0.000,0.000,0.000,0.000,0.000
2013,12,PA,14716,Pennsylvania Power Co,Final,0.342,0.144,0.030,0.000,0.516,40,12,1,0,53,0.000,0.000,0.000,0.000,0.000,0.006,0.080,0.000,0.000,0.086,2,4,0,0,6,0.000,0.000,0.000,0.000,0.000,0.000,0.650,0.000,0.000,0.650,0,2,0,0,2,0.000,0.000,0.000,0.000,0.000,0.348,0.874,0.030,0.000,1.252,42,18,1,0,61,0.000,0.000,0.000,0.000,0.000
